instant,cnt
13904,277
13905,298
13906,324
13907,347
13908,340
13909,369
13910,383
13911,397
13912,394
13913,381
13914,401
13915,381
13916,29
13917,53
13918,72
13919,93
13920,114
13921,115
13922,139
13923,160
13924,187
13925,211
13926,236
13927,258
13928,280
13929,301
13930,319
13931,344
13932,359
13933,374
13934,388
13935,407
13936,419
13937,422
13938,406
13939,398
13940,31
13941,51
13942,71
13943,91
13944,95
13945,115
13946,152
13947,160
13948,201
13949,225
13950,250
13951,278
13952,298
13953,321
13954,343
13955,359
13956,372
13957,387
13958,394
13959,414
13960,420
13961,390
13962,369
13963,368
13964,33
13965,54
13966,73
13967,79
13968,81
13969,102
13970,117
13971,141
13972,159
13973,200
13974,236
13975,230
13976,270
13977,294
13978,330
13979,354
13980,370
13981,386
13982,398
13983,413
13984,425
13985,433
13986,426
13987,421
13988,33
13989,52
13990,40
13991,60
13992,112
13993,132
13994,138
13995,176
13996,199
13997,221
13998,250
13999,270
14000,293
14001,316
14002,338
14003,359
14004,374
14005,359
14006,383
14007,345
14008,330
14009,339
14010,335
14011,312
14012,13
14013,47
14014,71
14015,91
14016,114
14017,136
14018,156
14019,178
14020,201
14021,226
14022,247
14023,272
14024,292
14025,311
14026,324
14027,339
14028,352
14029,362
14030,372
14031,381
14032,381
14033,378
14034,361
14035,333
14036,29
14037,51
14038,70
14039,92
14040,112
14041,133
14042,152
14043,177
14044,189
14045,213
14046,236
14047,272
14048,293
14049,314
14050,330
14051,346
14052,360
14053,375
14054,387
14055,399
14056,410
14057,411
14058,414
14059,383
14060,29
14061,47
14062,52
14063,73
14064,94
14065,114
14066,119
14067,158
14068,177
14069,206
14070,240
14071,268
14072,292
14073,315
14074,334
14075,349
14076,364
14077,361
14078,389
14079,404
14080,416
14081,422
14082,400
14083,396
14084,32
14085,56
14086,75
14087,91
14088,109
14089,131
14090,152
14091,160
14092,183
14093,208
14094,229
14095,251
14096,288
14097,298
14098,316
14099,348
14100,363
14101,376
14102,392
14103,404
14104,414
14105,416
14106,404
14107,381
14108,31
14109,50
14110,70
14111,88
14112,110
14113,130
14114,151
14115,175
14116,200
14117,226
14118,249
14119,274
14120,297
14121,317
14122,341
14123,354
14124,371
14125,386
14126,400
14127,412
14128,428
14129,433
14130,422
14131,399
14132,23
14133,43
14134,64
14135,84
14136,103
14137,125
14138,144
14139,167
14140,191
14141,214
14142,237
14143,257
14144,284
14145,304
14146,326
14147,347
14148,353
14149,375
14150,361
14151,346
14152,326
14153,311
14154,259
14155,252
14156,12
14157,14
14158,37
14159,89
14160,113
14161,132
14162,152
14163,173
14164,199
14165,222
14166,249
14167,274
14168,297
14169,316
14170,338
14171,358
14172,373
14173,388
14174,402
14175,415
14176,413
14177,381
14178,371
14179,359
14180,33
14181,53
14182,56
14183,78
14184,98
14185,117
14186,140
14187,161
14188,183
14189,205
14190,228
14191,228
14192,252
14193,269
14194,294
14195,325
14196,341
14197,344
14198,344
14199,347
14200,342
14201,298
14202,311
14203,291
14204,6
14205,42
14206,63
14207,83
14208,91
14209,113
14210,134
14211,156
14212,179
14213,203
14214,223
14215,261
14216,268
14217,307
14218,324
14219,339
14220,354
14221,368
14222,358
14223,355
14224,352
14225,342
14226,317
14227,307
14228,7
14229,28
14230,45
14231,84
14232,105
14233,126
14234,147
14235,171
14236,192
14237,219
14238,242
14239,268
14240,291
14241,314
14242,331
14243,346
14244,361
14245,373
14246,388
14247,327
14248,379
14249,369
14250,354
14251,335
14252,24
14253,48
14254,69
14255,90
14256,106
14257,131
14258,154
14259,174
14260,196
14261,222
14262,244
14263,267
14264,291
14265,313
14266,333
14267,348
14268,342
14269,363
14270,350
14271,362
14272,394
14273,375
14274,365
14275,345
14276,28
14277,47
14278,68
14279,88
14280,110
14281,131
14282,133
14283,157
14284,182
14285,207
14286,247
14287,271
14288,297
14289,319
14290,334
14291,352
14292,366
14293,381
14294,395
14295,410
14296,414
14297,415
14298,374
14299,352
14300,16
14301,35
14302,74
14303,93
14304,99
14305,134
14306,137
14307,160
14308,184
14309,212
14310,237
14311,256
14312,278
14313,302
14314,337
14315,340
14316,361
14317,377
14318,390
14319,396
14320,390
14321,390
14322,376
14323,365
14324,23
14325,42
14326,59
14327,97
14328,103
14329,121
14330,140
14331,161
14332,184
14333,207
14334,230
14335,253
14336,259
14337,296
14338,297
14339,330
14340,352
14341,370
14342,380
14343,359
14344,314
14345,372
14346,367
14347,328
14348,22
14349,44
14350,49
14351,70
14352,92
14353,128
14354,147
14355,171
14356,196
14357,217
14358,243
14359,264
14360,252
14361,268
14362,312
14363,305
14364,314
14365,357
14366,334
14367,333
14368,341
14369,332
14370,310
14371,306
14372,24
14373,42
14374,63
14375,85
14376,108
14377,128
14378,149
14379,174
14380,194
14381,214
14382,241
14383,264
14384,290
14385,310
14386,329
14387,344
14388,359
14389,374
14390,388
14391,399
14392,409
14393,410
14394,387
14395,375
14396,26
14397,45
14398,67
14399,86
14400,109
14401,115
14402,135
14403,157
14404,178
14405,203
14406,243
14407,268
14408,292
14409,314
14410,335
14411,349
14412,364
14413,378
14414,392
14415,405
14416,413
14417,414
14418,389
14419,372
14420,31
14421,49
14422,68
14423,90
14424,109
14425,130
14426,151
14427,177
14428,199
14429,224
14430,247
14431,271
14432,295
14433,315
14434,334
14435,349
14436,364
14437,380
14438,393
14439,405
14440,405
14441,399
14442,381
14443,370
14444,30
14445,52
14446,70
14447,92
14448,113
14449,134
14450,149
14451,177
14452,201
14453,225
14454,248
14455,273
14456,293
14457,313
14458,334
14459,354
14460,369
14461,386
14462,399
14463,411
14464,423
14465,421
14466,393
14467,393
14468,27
14469,48
14470,67
14471,88
14472,108
14473,129
14474,134
14475,156
14476,186
14477,226
14478,248
14479,278
14480,301
14481,321
14482,345
14483,363
14484,378
14485,392
14486,406
14487,417
14488,432
14489,438
14490,440
14491,415
14492,39
14493,57
14494,77
14495,99
14496,121
14497,139
14498,160
14499,172
14500,193
14501,215
14502,238
14503,260
14504,282
14505,305
14506,329
14507,348
14508,369
14509,389
14510,404
14511,373
14512,376
14513,294
14514,325
14515,352
14516,10
14517,48
14518,69
14519,89
14520,111
14521,132
14522,138
14523,172
14524,196
14525,205
14526,229
14527,253
14528,258
14529,277
14530,297
14531,319
14532,355
14533,371
14534,378
