instant,cnt
13904,328.5328532574304
13905,339.5762723667367
13906,355.344963869113
13907,352.89442955579005
13908,328.9491423622907
13909,348.10008868439536
13910,348.24673581298964
13911,350.0128135718258
13912,343.4044127404797
13913,337.8223206009454
13914,353.84446374939205
13915,349.1692561731723
13916,167.16514815028427
13917,190.9525054532317
13918,181.66257344906447
13919,188.91128609845458
13920,196.15999874784467
13921,187.05573211122098
13922,210.84308941416833
13923,218.09180206355842
13924,259.30631978849004
13925,275.2963365721447
13926,317.0945222634513
13927,319.8653540982363
13928,327.1140667476264
13929,334.3627793970165
13930,350.0704523045251
13931,375.29409173455036
13932,370.62859987479146
13933,371.00936049410905
13934,366.17799119961666
13935,360.5379730086156
13936,358.69074617806325
13937,362.95531636351325
13938,355.0993913160336
13939,366.83380187640427
13940,199.86678306003307
13941,188.58631133410913
13942,185.90497771703596
13943,186.7426162966946
13944,180.0650100488991
13945,163.0375786763735
13946,202.87709283734415
13947,219.34672963019995
13948,254.87234179121373
13949,287.31523435959946
13950,324.82191221989814
13951,346.3749005939046
13952,357.10789131571636
13953,377.51939175738846
13954,402.28213142404616
13955,409.53084407343624
13956,404.3564501987775
13957,413.43077444523345
13958,395.3086298580748
13959,389.0633890848357
13960,370.22846030779516
13961,361.4552273644865
13962,342.4270542464815
13963,339.05991965338325
13964,201.47350161325906
13965,209.21901563374087
13966,206.52653068290226
13967,209.13905399502184
13968,197.54744626554967
13969,204.79615891493978
13970,179.80502328112604
13971,180.58531539415438
13972,178.34970840365676
13973,196.8876150471478
13974,217.74914214221022
13975,243.65105804101276
13976,303.396565483769
13977,328.988089524876
13978,341.52595460090095
13979,371.5899272875847
13980,363.95745427535945
13981,380.6125347921865
13982,361.77855175415414
13983,368.53046303245253
13984,364.684879383768
13985,370.4398536824931
13986,363.5808656145867
13987,374.32167343277393
13988,199.9322057794078
13989,188.73845223235284
13990,169.5612068259802
13991,162.53729063338295
13992,178.37376841428608
13993,173.9232203567347
13994,175.88278057948992
13995,201.22431524313342
13996,217.0688317639843
13997,242.15240310023412
13998,287.55334168241717
13999,295.39851050762724
14000,322.9805742704908
14001,359.5987363623626
14002,364.8569092899961
14003,373.43443216536025
14004,381.1799461858421
14005,334.78090208705976
14006,322.1245872440892
14007,278.12832934306135
14008,290.5373895456917
14009,294.61629436359823
14010,301.86500701298837
14011,325.65139852651083
14012,162.53208953917056
14013,161.7694836564853
14014,189.07038098713622
14015,183.21614699517858
14016,202.0774021726413
14017,229.54865979701134
14018,225.81388228682044
14019,232.0656579566372
14020,265.7084439909871
14021,292.7849399763408
14022,292.9793276120613
14023,321.88143519448096
14024,330.1237505860544
14025,343.98011231249586
14026,352.8364166927257
14027,358.09458962035916
14028,364.3496995275658
14029,386.39167217628847
14030,388.8879772313029
14031,378.9904377175504
14032,371.72041714737844
14033,375.088654468026
14034,367.1514434107058
14035,360.0191060069621
14036,187.25037996564683
14037,194.00229124394522
14038,190.15670759526068
14039,193.9211421722291
14040,204.65413289404086
14041,211.90284554343097
14042,207.04221429365677
14043,238.9849712535609
14044,277.6461669496278
14045,293.6361837332825
14046,314.16392248247655
14047,329.6892642598315
14048,345.27974954977543
14049,351.53485945698213
14050,370.2097416508477
14051,387.85060781348267
14052,382.3847539814704
14053,392.1208077237089
14054,369.90315072802565
14055,358.18238454455445
14056,360.66992319315074
14057,358.5687748886482
14058,377.0504163125839
14059,359.2124209440821
14060,190.25486240595416
14061,181.95853314397039
14062,175.17583992241836
14063,182.42455257180848
14064,189.6732652211986
14065,186.79440728676286
14066,182.68353309260564
14067,199.83945683396792
14068,193.70098034577887
14069,242.73876630789513
14070,250.32126730315355
14071,289.2210793993463
14072,332.5909552137686
14073,348.2738778473186
14074,373.27949741111775
14075,375.348186461073
14076,384.4010658486227
14077,335.2009180321075
14078,357.51696768313786
14079,358.2861084624008
14080,348.167501840741
14081,369.17356340918235
14082,363.5914712696481
14083,373.32752501188656
14084,209.19630403755838
14085,209.9765961505867
14086,205.63421113081046
14087,196.31501717136146
14088,177.03519774979665
14089,195.96172624722197
14090,203.2104388966121
14091,231.44449995941525
14092,258.13261578482366
14093,275.55663952516585
14094,282.80535217455594
14095,298.4069887982653
14096,317.0055761457764
14097,337.79598272492206
14098,338.62580420820524
14099,349.6699309335651
14100,358.42019902999573
14101,355.2396791144836
14102,364.0113920698205
14103,344.93130465421353
14104,352.1800173036036
14105,361.41926967475035
14106,367.67437958195706
14107,361.3414548404241
14108,180.77917087059922
14109,176.43678585082296
14110,196.90563275912538
14111,194.53234260219952
14112,200.7874525094062
14113,192.76659933723568
14114,200.01531198662576
14115,234.14613298564913
14116,263.6015488527048
14117,289.3818308047561
14118,309.3529270319242
14119,335.2796585568219
14120,359.4770990519921
14121,374.0827480061709
14122,377.01755865560403
14123,386.1979191858592
14124,398.98034147031933
14125,405.1158788326141
14126,397.6594852788452
14127,391.94054952596855
14128,398.69246080426694
14129,391.07930589697185
14130,390.66942026049696
14131,386.00297909069536
14132,128.1321421138815
14133,118.28567734464505
14134,133.2797064587691
14135,131.1818923916565
14136,126.91771731770223
14137,132.17589024533564
14138,130.3773532319522
14139,146.6733155441158
14140,171.62147888432787
14141,191.29329805776675
14142,208.79875622436393
14143,226.69354386094903
14144,255.32256028090262
14145,278.086943129428
14146,291.3063256340455
14147,306.80049035665115
14148,303.28618209527065
14149,303.49004375346294
14150,299.5830717847046
14151,276.2133751581749
14152,271.32227446970506
14153,259.2886949713921
14154,232.53176884102993
14155,239.17620821822462
14156,149.67205508537293
14157,122.97486034898834
14158,143.58931727705135
14159,162.40993752189462
14160,202.47230585902287
14161,197.43559515079244
14162,191.9914443510576
14163,199.24015700044768
14164,244.07330172683925
14165,263.910049024969
14166,295.4451077199975
14167,307.14361667264427
14168,347.69416839086045
14169,345.01826694281556
14170,365.17907039097065
14171,370.4372433186041
14172,378.67955871017756
14173,384.93466861738426
14174,385.3320127394956
14175,372.63670374540004
14176,377.8948766730334
14177,348.19041730250893
14178,355.4391299518991
14179,354.0842216334528
14180,198.17707668934833
14181,184.0955012456916
14182,180.68961419545747
14183,203.92909538279707
14184,204.4260943096366
14185,192.31361372883026
14186,210.18126616410953
14187,218.42358155568306
14188,226.27990171465848
14189,226.4440780850545
14190,246.99326169315486
14191,226.27645252845852
14192,239.74960809061176
14193,228.09912499963022
14194,254.247033389392
14195,280.28832591051804
14196,292.3764225065239
14197,273.0673411296773
14198,280.3160537790674
14199,300.2576298775824
14200,309.4968822487292
14201,294.6750276777424
14202,309.7002338466158
14203,319.9137708550157
14204,133.77930053502752
14205,148.30770533280923
14206,155.55641798219932
14207,149.1367750617975
14208,162.27734976149623
14209,166.53858570955634
14210,189.96443988049302
14211,202.0525364764989
14212,216.74728853689376
14213,232.1242656419348
14214,242.36045499265487
14215,266.98621910893786
14216,275.69749305424364
14217,303.99295891650286
14218,323.85115107353874
14219,334.0840061868689
14220,341.332718836259
14221,337.9658259371498
14222,285.7694550633033
14223,291.02762799093676
14224,289.5860014936216
14225,287.80714052643276
14226,289.766700749188
14227,297.01541339857806
14228,134.53742673057735
14229,143.27654349324254
14230,142.22424646591534
14231,140.44538549872655
14232,147.69409814811664
14233,166.36992965202487
14234,174.11544367250667
14235,202.76362978097612
14236,211.00594517254962
14237,238.6683456352112
14238,267.74414774873986
14239,293.0242940923095
14240,317.0655728692071
14241,334.35513792355414
14242,354.5159413717092
14243,358.7771773197693
14244,366.0258899691594
14245,357.4982915755455
14246,356.0914689594973
14247,292.4489028201915
14248,311.6524710559517
14249,318.9011837053418
14250,314.4506356477904
14251,308.4203221973766
14252,146.4391369004675
14253,161.8813873254712
14254,169.13009997486128
14255,176.37881262425137
14256,165.73377474589006
14257,186.03685397641578
14258,206.56459272560986
14259,205.37366322181177
14260,228.91032353124208
14261,256.3751996765411
14262,278.2024866964275
14263,295.3758134432526
14264,313.05375865754485
14265,333.6899186178853
14266,346.0024165591884
14267,349.180946658849
14268,335.42212189006705
14269,342.67083453945713
14270,320.39155110074574
14271,303.52098906254645
14272,319.375819158955
14273,320.1561112719833
14274,327.4048239213734
14275,311.27646001578677
14276,157.48881249449136
14277,151.45849904407746
14278,158.70721169346757
14279,168.94340104418762
14280,173.20463699224777
14281,180.45334964163786
14282,168.8617419121657
14283,192.64909921511313
14284,228.02755418722688
14285,248.74071660997538
14286,294.22141230711975
14287,319.95061951465493
14288,342.69235002086015
14289,365.88837067747147
14290,354.4113239442277
14291,358.67255989228784
14292,358.68152385445387
14293,372.9845615175136
14294,370.3301049283749
14295,366.43594121947825
14296,352.4413421280617
14297,360.68365751963523
14298,356.8102310535912
14299,342.2104093799365
14300,176.74494601060582
14301,172.40256099082958
14302,196.53152373602092
14303,192.18913871624468
14304,194.14869893899987
14305,194.98730330808337
14306,183.66783743103457
14307,204.19557618022864
14308,226.29500505253844
14309,275.1116141497906
14310,305.6802053039416
14311,316.41319602575334
14312,328.2288925959647
14313,352.42633309113484
14314,356.74895735926873
14315,346.4016493654971
14316,353.6503620148872
14317,353.9833821270786
14318,343.3049085029597
14319,353.07355843786996
14320,345.6364829890312
14321,357.64636963921515
14322,359.42026449442693
14323,351.3136424534301
14324,200.3785119908199
14325,189.28441324849314
14326,186.22013164050296
14327,207.19763886971612
14328,209.65400046356302
14329,207.30215516554347
14330,202.85160710799207
14331,211.09392249956556
14332,235.18389109363198
14333,256.7300116813056
14334,276.06662337095383
14335,295.9813224415342
14336,311.69041448696504
14337,328.2951278753296
14338,288.57837043907637
14339,285.26409945362275
14340,294.6673306394178
14341,302.91298026838115
14342,323.0792158855645
14343,301.5627523646684
14344,288.7495481369547
14345,310.06084371203616
14346,317.3095563614263
14347,315.78483851175986
14348,138.2976742705163
14349,143.55584719814973
14350,146.51234440047816
14351,154.75465979205168
14352,160.01283271968512
14353,172.5506977957101
14354,180.11078814263743
14355,187.0481230944903
14356,230.3616017523249
14357,236.61337742214172
14358,288.08558997432306
14359,294.3373656441398
14360,275.90313574339035
14361,254.09366689087926
14362,234.80496917628085
14363,237.4469961376712
14364,244.69570878706128
14365,260.5321865679645
14366,258.01386597611463
14367,267.74991971835317
14368,280.2877847943781
14369,296.6671310480208
14370,289.12496862542554
14371,308.07294198175714
14372,140.44500369476282
14373,138.98193233854138
14374,147.72104910120657
14375,153.47935763732156
14376,169.4398542923232
14377,164.9893062347718
14378,172.2380188841619
14379,200.88620499263135
14380,211.1223943433514
14381,218.86790836383318
14382,266.5985871322528
14383,290.94247720026937
14384,303.313866982464
14385,324.47703957922073
14386,352.44205133300136
14387,359.78803385977244
14388,365.5430081584975
14389,380.4916816928426
14390,373.7455976950681
14391,343.177401652413
14392,349.42917732222975
14393,348.3249659973005
14394,330.59539183994514
14395,336.85050174715184
14396,174.3691808417612
14397,163.08870911583736
14398,182.45553207080994
14399,164.2369736387384
14400,184.87287542570763
14401,185.34203153518774
14402,179.70035641809037
14403,200.3362582050596
14404,207.4472876880215
14405,239.7739419488853
14406,290.4313270080747
14407,322.45536997781943
14408,345.6679741372244
14409,365.14226899330083
14410,383.42877102722105
14411,391.5928764729726
14412,398.26683597882027
14413,399.290847542076
14414,392.01749273451424
14415,378.14220801463824
14416,376.73538539859
14417,383.4872966768884
14418,372.7601332356006
14419,370.1056766464621
14420,179.5242433039577
14421,186.41145282133706
14422,182.04762294265453
14423,188.3027328498612
14424,197.93131469099598
14425,204.1830903608128
14426,211.4318030102029
14427,235.16503832695307
14428,256.49218973835787
14429,291.31400218844556
14430,307.49372619308724
14431,311.0717877864585
14432,336.4603553411746
14433,335.4938271826737
14434,353.9452573412849
14435,364.67491382570677
14436,371.758698350406
14437,390.2101285090172
14438,377.2122082238025
14439,358.7373433904336
14440,349.61446626493324
14441,360.55041347313585
14442,364.31484805010433
14443,366.4997754075815
14444,175.93978692398338
14445,189.94021329592402
14446,178.82466969469098
14447,186.07338234408107
14448,193.32209499347115
14449,200.57080764286127
14450,188.31605127968425
14451,219.92906174716356
14452,245.5205857882705
14453,274.2850102042619
14454,293.14626538172456
14455,333.45404695975606
14456,333.75352156923304
14457,334.9448461845268
14458,343.1871615761004
14459,367.7684993722302
14460,380.0809973135332
14461,406.1128158121874
14462,398.761509232175
14463,379.43072482305087
14464,369.1958798938691
14465,360.3430178668161
14466,348.2631334786815
14467,355.504029031696
14468,168.73874700801423
14469,175.98745965740432
14470,160.75304368927289
14471,167.00815359647956
14472,170.4110850414373
14473,178.65673467040068
14474,180.61629489315587
14475,185.37766644969759
14476,239.25483635842963
14477,268.244627909143
14478,296.82362865157984
14479,382.93097335754715
14480,392.0618045175475
14481,404.9740928720603
14482,416.95376825691983
14483,426.5735836916363
14484,432.32855799036145
14485,423.29265721710124
14486,421.93441466126507
14487,395.19572895979303
14488,402.4444416091831
14489,386.79212535245324
14490,394.0408380018433
14491,383.4546919643737
14492,219.66973115376354
14493,209.31531367967003
14494,212.95405597706153
14495,218.2122289046949
14496,221.97666348166334
14497,209.19463630869893
14498,216.44334895808902
14499,272.8668837375933
14500,292.19567833086586
14501,297.4538512584993
14502,314.62717800532437
14503,330.9718301346569
14504,336.2300030622903
14505,350.89454385736065
