instant,cnt
13904,282
13905,253
13906,261
13907,306
13908,444
13909,868
13910,814
13911,610
13912,448
13913,316
13914,223
13915,137
13916,58
13917,22
13918,6
13919,7
13920,7
13921,43
13922,172
13923,482
13924,737
13925,341
13926,214
13927,239
13928,280
13929,313
13930,236
13931,278
13932,441
13933,858
13934,862
13935,686
13936,500
13937,381
13938,232
13939,135
13940,66
13941,27
13942,13
13943,6
13944,10
13945,41
13946,167
13947,475
13948,698
13949,353
13950,204
13951,260
13952,277
13953,281
13954,247
13955,267
13956,417
13957,810
13958,811
13959,623
13960,478
13961,336
13962,259
13963,156
13964,85
13965,41
13966,19
13967,8
13968,6
13969,32
13970,44
13971,133
13972,119
13973,220
13974,193
13975,251
13976,314
13977,289
13978,307
13979,324
13980,467
13981,730
13982,640
13983,492
13984,370
13985,286
13986,217
13987,191
13988,180
13989,116
13990,85
13991,21
13992,10
13993,11
13994,23
13995,62
13996,162
13997,271
13998,407
13999,499
14000,546
14001,569
14002,538
14003,562
14004,531
14005,512
14006,299
14007,275
14008,160
14009,128
14010,168
14011,163
14012,120
14013,113
14014,86
14015,48
14016,10
14017,9
14018,15
14019,39
14020,119
14021,217
14022,328
14023,449
14024,505
14025,543
14026,579
14027,577
14028,513
14029,505
14030,491
14031,465
14032,300
14033,220
14034,181
14035,110
14036,47
14037,14
14038,9
14039,6
14040,11
14041,36
14042,159
14043,436
14044,673
14045,305
14046,199
14047,245
14048,276
14049,254
14050,248
14051,274
14052,464
14053,818
14054,812
14055,555
14056,432
14057,290
14058,191
14059,128
14060,59
14061,27
14062,11
14063,2
14064,4
14065,36
14066,64
14067,179
14068,618
14069,402
14070,208
14071,196
14072,300
14073,286
14074,255
14075,283
14076,458
14077,812
14078,854
14079,627
14080,435
14081,308
14082,189
14083,166
14084,60
14085,37
14086,8
14087,11
14088,4
14089,39
14090,172
14091,492
14092,682
14093,367
14094,232
14095,235
14096,307
14097,294
14098,255
14099,266
14100,431
14101,851
14102,848
14103,649
14104,427
14105,315
14106,226
14107,138
14108,76
14109,21
14110,14
14111,3
14112,4
14113,36
14114,165
14115,464
14116,682
14117,337
14118,199
14119,274
14120,343
14121,300
14122,248
14123,260
14124,419
14125,897
14126,832
14127,677
14128,514
14129,356
14130,254
14131,226
14132,88
14133,54
14134,19
14135,6
14136,9
14137,36
14138,157
14139,379
14140,668
14141,378
14142,231
14143,303
14144,365
14145,357
14146,328
14147,383
14148,488
14149,791
14150,669
14151,491
14152,359
14153,255
14154,213
14155,121
14156,105
14157,92
14158,43
14159,30
14160,12
14161,8
14162,27
14163,64
14164,189
14165,292
14166,480
14167,536
14168,654
14169,644
14170,598
14171,596
14172,641
14173,635
14174,554
14175,488
14176,341
14177,338
14178,261
14179,235
14180,187
14181,131
14182,118
14183,54
14184,25
14185,10
14186,19
14187,40
14188,124
14189,270
14190,425
14191,272
14192,298
14193,162
14194,149
14195,276
14196,356
14197,343
14198,377
14199,341
14200,274
14201,189
14202,55
14203,45
14204,26
14205,10
14206,5
14207,3
14208,7
14209,37
14210,160
14211,442
14212,655
14213,357
14214,193
14215,241
14216,282
14217,291
14218,275
14219,309
14220,460
14221,893
14222,815
14223,299
14224,261
14225,245
14226,161
14227,102
14228,59
14229,33
14230,7
14231,3
14232,4
14233,34
14234,169
14235,519
14236,723
14237,328
14238,178
14239,256
14240,305
14241,331
14242,302
14243,302
14244,467
14245,878
14246,625
14247,476
14248,358
14249,280
14250,232
14251,136
14252,55
14253,21
14254,17
14255,7
14256,8
14257,40
14258,187
14259,553
14260,740
14261,376
14262,225
14263,267
14264,312
14265,316
14266,266
14267,316
14268,460
14269,783
14270,683
14271,580
14272,391
14273,351
14274,281
14275,140
14276,60
14277,25
14278,20
14279,9
14280,6
14281,37
14282,192
14283,481
14284,707
14285,412
14286,233
14287,278
14288,332
14289,346
14290,305
14291,305
14292,465
14293,820
14294,941
14295,633
14296,474
14297,329
14298,198
14299,157
14300,111
14301,42
14302,16
14303,8
14304,8
14305,38
14306,151
14307,425
14308,744
14309,389
14310,262
14311,281
14312,371
14313,351
14314,338
14315,350
14316,515
14317,812
14318,736
14319,536
14320,363
14321,306
14322,251
14323,178
14324,135
14325,115
14326,79
14327,38
14328,12
14329,13
14330,30
14331,102
14332,161
14333,288
14334,442
14335,457
14336,584
14337,517
14338,482
14339,232
14340,434
14341,403
14342,382
14343,354
14344,241
14345,208
14346,182
14347,158
14348,134
14349,134
14350,116
14351,53
14352,16
14353,16
14354,21
14355,34
14356,133
14357,263
14358,385
14359,482
14360,625
14361,541
14362,377
14363,391
14364,173
14365,233
14366,264
14367,292
14368,211
14369,166
14370,114
14371,80
14372,32
14373,7
14374,8
14375,4
14376,12
14377,36
14378,145
14379,433
14380,699
14381,342
14382,205
14383,229
14384,283
14385,288
14386,246
14387,281
14388,444
14389,845
14390,834
14391,573
14392,416
14393,277
14394,160
14395,113
14396,37
14397,21
14398,15
14399,4
14400,8
14401,42
14402,147
14403,269
14404,693
14405,395
14406,204
14407,218
14408,297
14409,288
14410,251
14411,317
14412,480
14413,864
14414,818
14415,597
14416,435
14417,314
14418,216
14419,109
14420,47
14421,14
14422,5
14423,8
14424,9
14425,39
14426,180
14427,554
14428,808
14429,348
14430,178
14431,253
14432,360
14433,300
14434,301
14435,338
14436,493
14437,870
14438,812
14439,643
14440,427
14441,313
14442,235
14443,157
14444,65
14445,23
14446,17
14447,5
14448,8
14449,35
14450,163
14451,532
14452,754
14453,396
14454,234
14455,276
14456,294
14457,290
14458,273
14459,338
14460,482
14461,844
14462,853
14463,610
14464,471
14465,307
14466,291
14467,151
14468,82
14469,32
14470,20
14471,5
14472,7
14473,29
14474,108
14475,421
14476,690
14477,398
14478,256
14479,309
14480,410
14481,368
14482,436
14483,526
14484,528
14485,617
14486,546
14487,452
14488,356
14489,303
14490,277
14491,174
14492,168
14493,78
14494,69
14495,35
14496,12
14497,22
14498,36
14499,66
14500,161
14501,237
14502,417
14503,492
14504,471
14505,504
14506,514
14507,563
14508,462
14509,463
14510,442
14511,392
14512,206
14513,104
14514,78
14515,145
14516,99
14517,73
14518,84
14519,42
14520,22
14521,12
14522,15
14523,42
14524,129
14525,232
14526,388
14527,489
14528,545
14529,493
14530,457
14531,354
14532,474
14533,503
14534,500
14535,292
14536,103
14537,171
14538,166
14539,123
14540,104
14541,54
14542,40
14543,28
14544,11
14545,4
14546,15
14547,43
14548,126
14549,228
14550,358
14551,459
14552,543
14553,565
14554,512
14555,449
14556,500
14557,498
14558,482
14559,373
14560,261
14561,183
14562,120
14563,69
14564,28
14565,24
14566,5
14567,10
14568,8
14569,38
14570,172
14571,493
14572,632
14573,322
14574,171
14575,197
14576,286
14577,274
14578,273
14579,291
14580,457
14581,856
14582,839
14583,552
14584,385
14585,267
14586,178
14587,94
14588,36
14589,12
14590,8
14591,3
14592,4
14593,39
14594,209
14595,500
14596,725
14597,290
14598,234
14599,216
14600,265
14601,233
14602,210
14603,244
14604,429
14605,863
14606,839
14607,662
14608,411
14609,296
14610,218
14611,150
14612,64
14613,18
14614,7
14615,8
14616,7
14617,37
14618,200
14619,482
14620,646
14621,123
14622,49
14623,61
14624,136
14625,190
14626,215
14627,270
14628,416
14629,808
14630,835
14631,558
14632,406
14633,272
14634,217
14635,169
14636,96
14637,29
14638,11
14639,9
14640,8
14641,40
14642,140
14643,486
14644,719
14645,344
14646,223
14647,296
14648,323
14649,353
14650,252
14651,330
14652,470
14653,772
14654,792
14655,568
14656,391
14657,301
14658,299
14659,248
14660,150
14661,117
14662,77
14663,43
14664,11
14665,15
14666,34
14667,82
14668,229
14669,347
14670,422
14671,578
14672,694
14673,668
14674,626
14675,512
14676,113
14677,171
14678,167
14679,215
14680,194
14681,181
14682,194
14683,133
14684,124
14685,124
14686,95
14687,45
14688,27
14689,54
14690,34
14691,70
14692,170
14693,298
14694,495
14695,585
14696,757
14697,729
14698,647
14699,696
14700,701
14701,671
14702,560
14703,496
14704,355
14705,205
14706,189
14707,91
14708,40
14709,17
14710,16
14711,11
14712,4
14713,39
14714,180
14715,447
14716,730
14717,360
14718,209
14719,235
14720,331
14721,322
14722,340
14723,346
14724,488
14725,871
14726,967
14727,632
14728,389
14729,285
14730,159
14731,93
14732,32
14733,10
14734,5
14735,7
14736,8
14737,43
14738,211
14739,596
14740,750
14741,357
14742,195
14743,246
14744,316
14745,328
14746,255
14747,326
14748,536
14749,970
14750,877
14751,595
14752,461
14753,310
14754,216
14755,109
14756,49
14757,21
14758,11
14759,7
14760,4
14761,48
14762,205
14763,557
14764,770
14765,327
14766,204
14767,232
14768,352
14769,323
14770,278
14771,318
14772,509
14773,925
14774,977
14775,635
14776,469
14777,305
14778,212
14779,127
14780,57
14781,28
14782,9
14783,11
14784,6
14785,57
14786,195
14787,571
14788,758
14789,337
14790,211
14791,254
14792,297
14793,283
14794,274
14795,352
14796,491
14797,884
14798,852
14799,674
14800,463
14801,316
14802,250
14803,170
14804,87
14805,41
14806,30
14807,14
14808,12
14809,41
14810,152
14811,454
14812,766
14813,347
14814,246
14815,280
14816,409
14817,408
14818,371
14819,367
14820,563
14821,894
14822,808
14823,579
14824,404
14825,312
14826,229
14827,195
14828,207
14829,108
14830,93
14831,36
14832,5
14833,15
14834,32
14835,72
14836,211
14837,341
14838,441
14839,627
14840,706
14841,704
14842,715
14843,654
14844,783
14845,729
14846,614
14847,477
14848,329
14849,296
14850,279
14851,229
14852,151
14853,117
14854,89
14855,48
14856,8
14857,13
14858,35
14859,71
14860,128
14861,296
14862,489
14863,559
14864,656
14865,694
14866,635
14867,557
14868,596
14869,570
14870,480
14871,402
14872,323
14873,190
14874,127
14875,94
14876,45
14877,21
14878,13
14879,7
14880,11
14881,44
14882,164
14883,492
14884,683
14885,299
14886,201
14887,251
14888,294
14889,343
14890,332
14891,338
14892,453
14893,842
14894,774
14895,486
14896,340
14897,233
14898,129
14899,70
14900,13
14901,5
14902,4
14903,6
14904,7
14905,48
14906,167
14907,356
14908,672
14909,293
14910,159
14911,150
14912,87
14913,113
14914,143
14915,36
14916,141
14917,338
14918,281
14919,324
14920,290
14921,207
14922,150
14923,77
14924,25
14925,11
14926,2
14927,4
14928,9
14929,55
14930,171
14931,545
14932,797
14933,362
14934,192
14935,246
14936,312
14937,288
14938,285
14939,310
14940,465
14941,885
